Name,Lineitem quantity,Lineitem name,Lineitem sku,Lineitem fulfillment status,Shipping Country
#1114183,1,Triangle Pin,PIN-VITRIANGLE,pending,US
#1114182,1,Donation to Partners In Health Sierra Leone - $1.00 donation,,pending,US
#1114182,1,Barbarous Chapter 4 - Leeds-Sized Edition - Unsigned,BOOK-BARBAROUS4-LEEDS-UNSIGNED,pending,
#1114182,1,Barbarous Chapter 3 - Leeds-Sized Edition - Unsigned,BOOK-BARBAROUS3-LEEDS-UNSIGNED,pending,
#1114182,1,Barbarous Chapter 2 - Leeds-Sized Edition - Unsigned,BOOK-BARBAROUS2-LEEDS-UNSIGNED,pending,
#1114182,1,Barbarous Chapter 1 - Leeds-Sized Edition - Unsigned,BOOK-BARBAROUS1-LEEDS-UNSIGNED,pending,
#1114181,1,Bizarre Beasts Pin Subscription!,SUB-BIZARREBEASTS,pending,US
#1114180,1,SciShow Pin Of The Month: Atlas Rocket - Jan - Pin Only,PIN-SCISHOWPOTM-ATLASROCKET-0123,pending,US
#1114179,1,Animal Wonders 2023 Calendar,CALENDAR-ANIMALWONDERS2023,pending,US
#1114179,1,Bizarre Beasts Pin Subscription!,SUB-BIZARREBEASTS,pending,
#1114179,1,Cozy Time Pin,PIN-COZYTIME,pending,
#1114178,1,I'm Thinking About Books Sweatshirt - Alpine Green / S,SWEATSHIRT-THINKINGABOUTBOOKS-GREEN-S,pending,GB
#1114177,1,JoCo Cruise 2023 Kraken Pin,PIN-JOCO2023-KRAKEN,pending,US
#1114177,1,JoCo Cruise 2023 Shirt - CURVED / S,SHIRT-JOCOCRUISE2023-CURVED-S,pending,
#1114176,1,SHORT 3Blue1Brown Pi Plushie,PLUSH-3B1B-SHORT,pending,FR
#1114175,1,Donation to Partners In Health Sierra Leone - $1.00 donation,,pending,US
#1114175,1,SciShow Pin Of The Month: Atlas Rocket - Jan - Pin Only,PIN-SCISHOWPOTM-ATLASROCKET-0123,pending,
#1114174,1,Donation to Partners In Health Sierra Leone - $1.00 donation,,pending,US
#1114174,1,Project For Awesome 2023 Calendar,CALENDAR-P4A2023,pending,
#1114173,1,Juno Steel and the Man in Glass,POSTER-JSMANINGLASS,pending,US
#1114173,1,Juno Steel and the Tools of Rust,POSTER-JSTOOLSOFRUST,pending,
#1114172,1,Schrodinger's Cat Blind Box Plushie,PLUSHIE-CATBLINDBOX,pending,US
#1114171,1,SciShow Pin Of The Month: Atlas Rocket - Jan - Cork Pin Board Bundle,BUNDLE-SCISHOWBOARD0123,pending,US
#1114170,1,BTSWTW Bimonthly Pin  - Morality Never Goes Out Of Style (Jan) - Pin Only,PIN-BTSWTWPOTM-MORALITY-0123,pending,US
#1114169,1,Confident & Kind Band Tee - 3XL,SHIRT-CONFIDENTKINDBAND-3XL,pending,US
#1114168,1,Tolarian Community College Unisex Logo Shirt - Blue On Crème / XXL,SHIRT-TCCLOGO-UNI-CREME-XXL,pending,US
#1114167,1,Drawfee Logo Shirt - 5XL,SHIRT-DRAWFEELOGO-5XL,pending,US
#1114167,1,Jacob Horse Plushie,PLUSHIE-JACOBHORSE,pending,
#1114167,1,Drawfee Logo Hoodie - 4XL,HOODIE-DRAWFEELOGO-4XL,pending,
#1114165,1,SciShow Pin Of The Month: Atlas Rocket - Jan - Pin Only,PIN-SCISHOWPOTM-ATLASROCKET-0123,pending,US
#1114164,1,Animal Wonders Logo Sticker,STICKER-ANIMALWONDERSLOGO,pending,US
#1114164,1,Animal Wonders 2023 Calendar,CALENDAR-ANIMALWONDERS2023,pending,
#1114162,1,What Should I Read Next Shirt - 3XL,SHIRT-READNEXT-3XL,pending,US
#1114161,1,Donation to Partners In Health Sierra Leone - $1.00 donation,,pending,AU
#1114161,1,Mystery Shirts - UNISEX / L,SHIRT-MYSTERY-L,pending,
#1114160,1,Dorian Smiles Shirt - XL,SHIRT-DORIANSMILES-XL,pending,US
#1114159,2,Mystery Shirts - UNISEX / XL,SHIRT-MYSTERY-XL,pending,US
#1114158,1,Drawtectives: Celestial Spear Poster - Celestial Spear Only,POSTER-DRAWTECTIVESCELESTIALSPEAR,pending,US
#1114157,1,White and Black Retro Ringer - XL,SHIRT-TMGWRETRORINGER-WHITE-XL,pending,US
#1114157,1,Schrodinger's Cat Blind Box Plushie,PLUSHIE-CATBLINDBOX,pending,
#1114156,1,SciShow Pin Of The Month: Atlas Rocket - Jan - Pin Only,PIN-SCISHOWPOTM-ATLASROCKET-0123,pending,CA
#1114155,1,Professor Astro Cat’s Stargazing - Book Bundle,BUNDLE-ASTROCATSTARGAZING,pending,US
#1114155,1,Professor Astro Cat's Human Body Odyssey - Book Bundle,BUNDLE-ASTROCATHUMANBODYODYSSEY,pending,
#1114155,1,Professor Astro Cat’s Solar System - Book Bundle,BUNDLE-ASTROCATSOLARSYSTEM,pending,
#1114155,1,Audiobooks Are Reading Enamel Pin,PIN-AUDIOBOOKSAREREADING,pending,
#1114155,1,SciShow Pin Of The Month: Atlas Rocket - Jan - Pin Only,PIN-SCISHOWPOTM-ATLASROCKET-0123,pending,
#1114154,1,Donation to Partners In Health Sierra Leone - $1.00 donation,,pending,US
#1114154,1,Bizarre Beasts Pin Subscription!,SUB-BIZARREBEASTS,pending,
#1114153,1,The Map of Engineering Poster,POSTER-MAPOFENGINEERING,pending,US
#1114152,1,Bizarre Beasts Pin Subscription! - -,SUB-BIZARREBEASTS,pending,US
#1114151,1,Bizarre Beasts Pin Subscription! - -,SUB-BIZARREBEASTS,pending,US
#1114150,1,Bizarre Beasts Pin Subscription! - -,SUB-BIZARREBEASTS,pending,US
#1114149,1,TNO Socks - M/L,SOCKS-THENEWESTOLYMPIAN-ML,pending,US
#1114149,1,The Newest Olympian Trident Enamel Pin,PIN-TNOTRIDENT,pending,
#1114148,2,Mystery Shirts - UNISEX / 4XL,SHIRT-MYSTERY-4XL,pending,US
